Joint 1,Joint 2,Joint 3,Joint 4,Joint 5,Joint 6,Joint 7
0.0,0.0,0.0,-1.77,-1.6,1.6,0.9,0.04
0.0,0.0,0.0,-1.77,-1.6,1.6,0.9,0.04
0.0,0.0,0.0,-1.77,-1.6,1.6,0.9,0.015
0.0,0.0,0.0,-1.77,-1.6,1.6,0.9,0.015
0.0,0.0,0.0,-1.77,-1.6,2.6,0.9,0.015
0.0,0.0,0.0,-1.77,-1.6,2.6,0.9,0.015
0.0,0.0,0.0,-2.177,-1.6,2.6,0.9,0.015
0.0,0.0,0.0,-2.177,-1.6,2.6,0.9,0.015
0.107,0.0,0.0,-2.177,-1.6,2.6,0.9,0.015
0.107,0.0,0.0,-2.177,-1.6,2.6,0.9,0.015
0.107,0.515,0.0,-2.177,-1.6,2.6,0.9,0.015
0.107,0.515,0.0,-2.177,-1.6,2.6,0.9,0.015
0.107,0.515,0.0,-2.177,-1.6,2.6,0.9,0.014
0.107,0.515,0.0,-2.177,-1.6,2.6,0.9,0.014
0.107,0.515,0.0,-2.177,-1.6,2.6,0.9,0.013
0.107,0.515,0.0,-2.177,-1.6,2.6,0.9,0.013
0.107,0.515,0.0,-2.177,-1.6,2.6,0.9,0.012
0.107,0.515,0.0,-2.177,-1.6,2.6,0.9,0.012
0.107,0.515,0.0,-2.177,-1.6,2.6,0.9,0.011
0.107,0.515,0.0,-2.177,-1.6,2.6,0.9,0.011
0.107,0.515,0.0,-2.177,-1.6,2.6,0.9,0.01
0.107,0.515,0.0,-2.177,-1.6,2.6,0.9,0.01
0.107,0.515,0.0,-2.177,-1.6,2.6,0.9,0.009
0.107,0.515,0.0,-2.177,-1.6,2.6,0.9,0.009
0.107,0.515,0.0,-2.177,-1.6,2.6,0.9,0.008
0.107,0.515,0.0,-2.177,-1.6,2.6,0.9,0.008
0.107,0.515,0.0,-2.177,-1.6,2.6,0.9,0.007
0.107,0.515,0.0,-2.177,-1.6,2.6,0.9,0.007
0.107,0.515,0.0,-2.177,-1.6,2.6,0.9,0.006
0.107,0.515,0.0,-2.177,-1.6,2.6,0.9,0.006
0.107,0.515,0.0,-2.177,-1.6,2.6,0.9,0.005
0.107,0.515,0.0,-2.177,-1.6,2.6,0.9,0.005
0.107,0.515,0.0,-2.177,-1.6,2.6,0.9,0.004
0.107,0.515,0.0,-2.177,-1.6,2.6,0.9,0.004
0.107,0.515,0.0,-2.177,-1.6,2.6,0.9,0.003
0.107,0.515,0.0,-2.177,-1.6,2.6,0.9,0.003
0.107,0.515,0.0,-2.177,-1.6,2.6,0.9,0.002
0.107,0.515,0.0,-2.177,-1.6,2.6,0.9,0.002
0.107,0.514,0.0,-2.177,-1.6,2.6,0.9,0.002
0.107,0.514,0.0,-2.177,-1.6,2.6,0.9,0.002
0.107,0.513,0.0,-2.177,-1.6,2.6,0.9,0.002
0.107,0.513,0.0,-2.177,-1.6,2.6,0.9,0.002
0.107,0.512,0.0,-2.177,-1.6,2.6,0.9,0.002
0.107,0.512,0.0,-2.177,-1.6,2.6,0.9,0.002
0.107,0.512,0.0,-2.178,-1.6,2.6,0.9,0.002
0.107,0.512,0.0,-2.178,-1.6,2.6,0.9,0.002
0.107,0.512,0.0,-2.179,-1.6,2.6,0.9,0.002
0.107,0.512,0.0,-2.179,-1.6,2.6,0.9,0.002
0.107,0.511,0.0,-2.179,-1.6,2.6,0.9,0.002
0.107,0.511,0.0,-2.179,-1.6,2.6,0.9,0.002
0.107,0.51,0.0,-2.179,-1.6,2.6,0.9,0.002
0.107,0.51,0.0,-2.179,-1.6,2.6,0.9,0.002
0.107,0.51,0.0,-2.18,-1.6,2.6,0.9,0.002
0.107,0.51,0.0,-2.18,-1.6,2.6,0.9,0.002
0.107,0.51,0.0,-2.181,-1.6,2.6,0.9,0.002
0.107,0.51,0.0,-2.181,-1.6,2.6,0.9,0.002
0.107,0.51,0.0,-2.182,-1.6,2.6,0.9,0.002
0.107,0.51,0.0,-2.182,-1.6,2.6,0.9,0.002
0.107,0.509,0.0,-2.182,-1.6,2.6,0.9,0.002
0.107,0.509,0.0,-2.182,-1.6,2.6,0.9,0.002
0.107,0.508,0.0,-2.182,-1.6,2.6,0.9,0.002
0.107,0.508,0.0,-2.182,-1.6,2.6,0.9,0.002
0.107,0.508,0.0,-2.183,-1.6,2.6,0.9,0.002
0.107,0.508,0.0,-2.183,-1.6,2.6,0.9,0.002
0.107,0.508,0.0,-2.184,-1.6,2.6,0.9,0.002
0.107,0.508,0.0,-2.184,-1.6,2.6,0.9,0.002
0.107,0.508,0.0,-2.185,-1.6,2.6,0.9,0.002
0.107,0.508,0.0,-2.185,-1.6,2.6,0.9,0.002
0.107,0.507,0.0,-2.185,-1.6,2.6,0.9,0.002
0.107,0.507,0.0,-2.185,-1.6,2.6,0.9,0.002
0.107,0.506,0.0,-2.185,-1.6,2.6,0.9,0.002
0.107,0.506,0.0,-2.185,-1.6,2.6,0.9,0.002
0.107,0.506,0.0,-2.186,-1.6,2.6,0.9,0.002
0.107,0.506,0.0,-2.186,-1.6,2.6,0.9,0.002
0.107,0.506,0.0,-2.187,-1.6,2.6,0.9,0.002
0.107,0.506,0.0,-2.187,-1.6,2.6,0.9,0.002
0.107,0.505,0.0,-2.187,-1.6,2.6,0.9,0.002
0.107,0.505,0.0,-2.187,-1.6,2.6,0.9,0.002
0.107,0.504,0.0,-2.187,-1.6,2.6,0.9,0.002
0.107,0.504,0.0,-2.187,-1.6,2.6,0.9,0.002
0.107,0.504,0.0,-2.188,-1.6,2.6,0.9,0.002
0.107,0.504,0.0,-2.188,-1.6,2.6,0.9,0.002
0.107,0.504,0.0,-2.189,-1.6,2.6,0.9,0.002
0.107,0.504,0.0,-2.189,-1.6,2.6,0.9,0.002
0.107,0.503,0.0,-2.189,-1.6,2.6,0.9,0.002
0.107,0.503,0.0,-2.189,-1.6,2.6,0.9,0.002
0.107,0.502,0.0,-2.189,-1.6,2.6,0.9,0.002
0.107,0.502,0.0,-2.189,-1.6,2.6,0.9,0.002
0.107,0.502,0.0,-2.19,-1.6,2.6,0.9,0.002
0.107,0.502,0.0,-2.19,-1.6,2.6,0.9,0.002
0.107,0.502,0.0,-2.191,-1.6,2.6,0.9,0.002
0.107,0.502,0.0,-2.191,-1.6,2.6,0.9,0.002
